label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360
1,750,1,1,750,750,750,750,750,750,1,750,4,750,750,1,1,750,750,750,750,1,26,1,750,1,11,1,750,750,750,84,1,750,1,750,96,750,10,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,3,1,750,750,750,1,1,750,750,750,1,750,750,750,1,750,1,1,4,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,8,750,1,81,750,750,750,750,1,1,750,1,1,1,1,750,9,750,750,750,750,1,1,750,1,750,750,750,750,750,19,750,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,6,750,750,750,1,750,1,750,1,750,750,3,750,750,750,27,750,750,750,750,750,750,750,750,1,1,750,2,750,2,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,1,2,750,750,750,750,750,750,750,750,750,1,750,750,750,2,750,750,1,750,750,750,163,750,1,750,750,1,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,83,1,1,750,750,750,1,279,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,1,1,750,750,750,750,12,1,1,1,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,1,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,3,1
1,750,1,3,750,750,750,750,750,750,25,750,9,750,750,1,31,750,750,750,750,1,30,1,750,3,12,10,750,750,750,38,1,750,12,750,13,750,13,750,750,1,3,1,750,750,750,750,750,750,750,1,750,750,6,750,750,11,14,750,750,750,1,1,750,750,750,9,750,750,750,32,750,1,1,13,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,12,750,1,41,750,750,750,750,9,1,750,25,18,3,7,750,10,750,750,750,750,1,1,750,1,750,750,750,750,750,23,750,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,5,34,750,750,750,9,750,1,750,1,750,750,19,750,750,750,81,750,750,750,750,750,750,750,750,1,1,750,15,750,48,750,750,750,750,750,750,750,6,750,750,750,750,750,27,750,750,4,750,15,6,750,750,750,750,750,750,750,750,750,2,750,750,750,3,750,750,1,750,750,750,104,750,1,750,750,30,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,44,1,3,750,750,750,1,86,750,750,3,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,13,750,750,750,750,750,1,1,3,750,750,750,750,21,1,1,10,750,1,750,750,750,3,750,8,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,6,750,750,1,35,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,5,1
1,750,1,1,750,750,750,750,750,750,1,750,6,750,750,1,2,750,750,750,750,1,30,1,750,1,13,1,750,750,750,105,1,750,1,750,97,750,18,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,3,1,750,750,750,1,1,750,750,750,1,750,750,750,1,750,1,1,8,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,15,750,1,219,750,750,750,750,1,1,750,1,1,1,1,750,17,750,750,750,750,1,1,750,1,750,750,750,750,750,31,750,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,5,750,750,750,1,750,1,750,1,750,750,3,750,750,750,13,750,750,750,750,750,750,750,750,1,1,750,2,750,3,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,1,1,750,750,750,750,750,750,750,750,750,1,750,750,750,2,750,750,1,750,750,750,189,750,1,750,750,1,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,236,1,1,750,750,750,1,319,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,1,1,750,750,750,750,5,1,1,1,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,1,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,4,1
1,750,1,1,750,750,750,750,750,750,1,750,5,750,750,1,3,750,750,750,750,1,26,1,750,1,11,1,750,750,750,82,1,750,1,750,70,750,11,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,2,1,750,750,750,1,1,750,750,750,1,750,750,750,5,750,1,1,9,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,9,750,1,93,750,750,750,750,1,1,750,1,1,1,1,750,11,750,750,750,750,1,1,750,1,750,750,750,750,750,22,750,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,2,750,750,750,1,750,750,1,5,750,750,750,1,750,1,750,1,750,750,3,750,750,750,23,750,750,750,750,750,750,750,750,1,1,750,2,750,4,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,1,1,750,750,750,750,750,750,750,750,750,1,750,750,750,2,750,750,1,750,750,750,183,750,1,750,750,5,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,93,1,1,750,750,750,1,325,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,1,1,750,750,750,750,11,1,1,1,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,5,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,3,2
1,750,1,7,750,750,750,750,750,750,66,750,18,750,750,1,26,750,750,750,750,1,45,1,750,8,62,25,750,750,750,111,1,750,90,750,103,750,23,750,750,1,4,1,750,750,750,750,750,750,750,1,750,750,18,750,750,31,68,750,750,750,1,1,750,750,750,43,750,750,750,28,750,1,1,32,750,750,750,750,750,750,1,750,3,750,469,750,152,750,469,750,750,750,1,1,750,16,750,1,328,750,750,750,750,18,1,750,65,161,49,20,750,18,750,750,750,750,1,1,750,1,750,750,750,750,750,36,750,750,750,750,750,750,750,750,1,750,750,750,750,750,89,750,750,4,750,750,750,1,750,750,7,44,750,750,750,3,750,1,750,1,750,750,20,750,750,750,118,750,750,750,750,750,750,750,750,1,1,750,15,750,18,750,750,750,750,750,750,750,48,750,750,750,750,750,77,750,750,4,750,4,16,750,750,750,750,750,750,750,750,750,14,750,750,750,15,750,750,150,750,750,750,168,750,7,750,750,28,750,750,750,1,750,750,1,750,309,750,69,750,750,750,750,470,226,750,750,750,324,2,19,750,750,750,6,296,750,750,8,750,750,750,750,750,750,750,750,750,750,750,1,750,1,90,750,750,750,750,750,1,750,750,750,750,42,750,750,750,750,750,1,61,6,750,750,750,750,55,1,1,32,750,750,750,750,750,5,750,8,750,750,750,750,1,750,750,750,750,750,750,1,750,402,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,18,750,750,1,37,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,12,2
1,750,1,1,750,750,750,750,750,750,1,750,2,750,750,1,2,750,750,750,750,1,2,1,750,2,1,1,750,750,750,3,1,750,1,750,2,750,1,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,1,1,750,750,750,1,1,750,750,750,1,750,750,750,2,750,1,1,2,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,1,750,1,13,750,750,750,750,1,1,750,1,1,2,1,750,1,750,750,750,750,1,1,750,1,750,750,750,750,750,2,750,750,750,750,750,750,750,750,750,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,3,750,750,750,1,750,1,750,1,750,750,3,750,750,750,5,750,750,750,750,750,750,750,750,1,1,750,2,750,2,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,1,1,750,750,750,750,750,750,750,750,750,1,750,750,750,1,750,750,1,750,750,750,9,750,1,750,750,1,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,13,1,1,750,750,750,1,15,750,750,2,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,1,1,750,750,750,750,3,1,1,1,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,1,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,1,1
1,750,1,2,750,750,750,750,750,750,1,750,13,750,750,1,3,750,750,750,750,1,3,1,750,7,164,1,750,750,750,14,445,750,1,750,5,750,1,750,750,1500,6,445,750,750,750,750,750,750,750,1,750,750,7,750,750,9,29,750,750,750,1,445,750,750,750,14,750,750,750,1,750,1,1,5,750,750,750,750,750,750,1,750,2,750,1,750,1,750,1,750,750,750,1,1,750,1,750,1,8,750,750,750,750,445,1,750,1,1,17,2,750,2,750,750,750,750,1,1,750,1,750,750,750,750,750,6,750,750,750,750,750,750,750,750,750,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,41,750,750,750,60,750,1,750,1,750,750,37,750,750,750,28,750,750,750,750,750,750,750,750,1,1,750,16,750,5,750,750,750,750,750,750,750,23,750,750,750,750,750,301,750,750,1,750,4,6,750,750,750,750,750,750,750,750,750,7,750,750,750,2,750,750,1,750,750,750,4,750,14,750,750,1,750,750,750,1,750,750,1,750,1,750,69,750,750,750,750,1,1,750,750,750,41,1,1,750,750,750,1,3,750,750,12,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,389,9,750,750,750,750,10,1,1,1,750,1,750,750,750,1,750,189,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,7,750,750,1,4,750,750,750,750,750,750,1,750,750,750,750,750,750,423,750,750,61,1
1,750,1,1,750,750,750,750,750,750,3,750,4,750,750,1,2,750,750,750,750,1,1,1,750,2,2,2,750,750,750,4,1,750,1,750,2,750,1,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,1,1,750,750,750,1,1,750,750,750,2,750,750,750,1,750,1,1,1,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,1,750,1,14,750,750,750,750,1,1,750,3,3,2,1,750,1,750,750,750,750,1,1,750,1,750,750,750,750,750,2,750,750,750,750,750,750,750,750,750,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,4,750,750,750,1,750,1,750,1,750,750,3,750,750,750,3,750,750,750,750,750,750,750,750,1,1,750,2,750,2,750,750,750,750,750,750,750,2,750,750,750,750,750,1,750,750,1,750,1,1,750,750,750,750,750,750,750,750,750,1,750,750,750,1,750,750,1,750,750,750,2,750,1,750,750,1,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,14,1,1,750,750,750,1,1,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,2,750,750,750,750,750,1,1,1,750,750,750,750,3,1,1,4,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,1,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,1,1
1,750,1,1,750,750,750,750,750,750,5,750,5,750,750,1,5,750,750,750,750,1,12,1,750,2,7,2,750,750,750,19,1,750,1,750,14,750,5,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,4,750,750,5,12,750,750,750,1,1,750,750,750,6,750,750,750,1,750,1,1,13,750,750,750,750,750,750,1,750,2,750,1,750,1,750,1,750,750,750,1,1,750,4,750,1,27,750,750,750,750,1,1,750,5,4,1,2,750,5,750,750,750,750,1,1,750,1,750,750,750,750,750,7,750,750,750,750,750,750,750,750,750,750,750,750,750,750,1,750,750,7,750,750,750,1,750,750,2,12,750,750,750,3,750,1,750,1,750,750,8,750,750,750,87,750,750,750,750,750,750,750,750,1,1,750,7,750,19,750,750,750,750,750,750,750,5,750,750,750,750,750,5,750,750,1,750,1,7,750,750,750,750,750,750,750,750,750,2,750,750,750,2,750,750,1,750,750,750,78,750,1,750,750,16,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,10,5,750,750,750,27,1,1,750,750,750,1,153,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,3,750,750,750,750,750,1,1,1,750,750,750,750,36,1,1,3,750,1,750,750,750,1,750,38,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,4,750,750,1,13,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,2,1
1,750,1,1,750,750,750,750,750,750,1,750,7,750,750,1,2,750,750,750,750,1,30,1,750,1,13,1,750,750,750,103,1,750,1,750,98,750,17,750,750,1,1,1,750,750,750,750,750,750,750,1,750,750,1,750,750,3,1,750,750,750,1,1,750,750,750,1,750,750,750,1,750,1,1,12,750,750,750,750,750,750,1,750,1,750,1,750,1,750,1,750,750,750,1,1,750,14,750,1,196,750,750,750,750,1,1,750,1,1,1,1,750,17,750,750,750,750,1,1,750,1,750,750,750,750,750,30,750,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,750,750,1,750,750,1,6,750,750,750,1,750,1,750,1,750,750,3,750,750,750,16,750,750,750,750,750,750,750,750,1,1,750,2,750,4,750,750,750,750,750,750,750,1,750,750,750,750,750,1,750,750,1,750,1,1,750,750,750,750,750,750,750,750,750,1,750,750,750,2,750,750,1,750,750,750,185,750,1,750,750,1,750,750,750,1,750,750,1,750,1,750,1,750,750,750,750,1,1,750,750,750,220,1,1,750,750,750,1,320,750,750,1,750,750,750,750,750,750,750,750,750,750,750,1,750,1,1,750,750,750,750,750,1,750,750,750,750,1,750,750,750,750,750,1,1,1,750,750,750,750,9,1,1,1,750,1,750,750,750,1,750,1,750,750,750,750,1,750,750,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,1,750,1,750,750,750,750,1,750,750,1,1,750,750,750,750,750,750,1,750,750,750,750,750,750,1,750,750,4,1
